timestamp,USDJPY,EURUSD
1697192673.9505374,0.0,0.0
1697192733.9605303,0.0,0.0
1697192793.9666457,0.0,0.0
1697192853.9722126,0.0,0.0
1697192913.9860535,0.0,0.0
1697192973.9892957,0.0,0.0
1697193034.00045,0.0,0.0
1697193094.0006864,0.0,0.0
1697193154.0053737,0.0,0.0
1697193214.0098023,0.0,0.0
1697193274.0165586,0.0,0.0
1697193334.0284991,0.0,0.0
1697193394.0332334,0.0,0.0
1697193454.040167,0.0,0.0
1697193514.0483084,0.0,0.0
1697193574.0541594,0.0,0.0
1697193634.059072,0.0,0.0
1697193694.062789,0.0,0.0
1697193754.0749118,0.0,0.0
1697193814.084721,0.0,0.0
1697193874.0940516,0.0,0.0
1697193934.0984843,0.0,0.0
1697193994.106016,0.0,0.0
1697194054.110013,0.0,0.0
1697194114.1250198,0.0,0.0
1697194174.137033,0.0,0.0
1697194234.140525,0.0,0.0
1697194294.1478102,0.0,0.0
1697194354.153984,0.0,0.0
1697194414.1667988,0.0,0.0
1697194474.1784968,0.0,0.0
1697194534.1893878,0.0,0.0
1697194594.19941,0.0,0.0
1697194654.200185,0.0,0.0
1697194714.213166,0.0,0.0
1697194774.216992,0.0,0.0
1697194834.2187498,0.0,0.0
1697194894.2286,0.0,0.0
1697194954.2422647,0.0,0.0
1697195014.244366,0.0,0.0
1697195074.250684,0.0,0.0
1697195134.2656648,0.0,0.0
1697195194.2801914,0.0,0.0
1697195254.2841866,0.0,0.0
1697195314.2980845,0.0,0.0
1697195374.3042924,0.0,0.0
1697195434.3194687,0.0,0.0
1697195494.3285804,0.0,0.0
1697195554.331403,0.0,0.0
1697195614.3453543,0.0,0.0
1697195674.3524346,0.0,0.0
1697195734.3664837,0.0,0.0
1697195794.3689144,0.0,0.0
1697195854.3846428,0.0,0.0
1697195914.3949544,0.0,0.0
1697195974.3998182,0.0,0.0
1697196034.4111247,0.0,0.0
1697196094.4145453,0.0,0.0
1697196154.4245791,0.0,0.0
